Ave_close,Ave_open,CostPercentOfTxVol,DATE,Franc_Can_Conversion_rate,Franc_Can_Reciprocal_rate,Franc_EUR_Conversion_rate,Franc_Euro_Reciprocal_rate,Franc_GBP_Conversion_rate,Franc_GBP_Reciprocal_rate,Franc_USD_Conversion_rate,Franc_USD_Reciprocal_rate,should_have_bought
5.026673333,5.01,5.418358682,5/8/2012,1.0833,0.9231,0.8326,1.2011,0.6706,1.4911,1.0836,0.9228,FALSE
4.996656667,5.039126667,3.675817159,5/9/2012,1.08,0.9259,0.8326,1.2011,0.6686,1.4956,1.0784,0.9273,FALSE
4.994566667,4.991293333,3.076632603,5/10/2012,1.0806,0.9254,0.8324,1.2013,0.6676,1.498,1.0788,0.927,FALSE
4.866666667,4.9999,2.721801289,5/11/2012,1.0736,0.9314,0.8325,1.2012,0.6698,1.4929,1.077,0.9285,FALSE
4.90332,4.93292,5.115844684,5/14/2012,1.0717,0.9331,0.8327,1.2009,0.6638,1.5066,1.0697,0.9349,TRUE
4.945333333,4.906963333,2.917068802,5/15/2012,1.0667,0.9375,0.833,1.2005,0.6638,1.5065,1.0636,0.9402,TRUE
4.958336667,4.947896667,2.98869558,5/16/2012,1.0706,0.9341,0.8325,1.2012,0.6652,1.5034,1.0598,0.9436,TRUE
5.036233333,4.979413333,3.678176564,5/17/2012,1.0753,0.93,0.8325,1.2012,0.6687,1.4955,1.0579,0.9452,TRUE
5.039266667,5.03093,2.815249656,5/18/2012,1.0813,0.9248,0.8326,1.2011,0.6708,1.4908,1.0591,0.9442,FALSE
5.036673333,5.052056667,3.117978317,5/21/2012,1.096335838,0.913507514,0.82072948,1.218603854,0.681853757,1.467274566,1.078,0.928243353,TRUE
5.053256667,5.040333333,2.141520416,5/22/2012,1.0805,0.9255,0.8326,1.2011,0.6721,1.4878,1.0602,0.9432,FALSE
5.036256667,5.03722,2.881976213,5/23/2012,1.0754,0.9299,0.8327,1.2009,0.6671,1.4991,1.0466,0.9555,TRUE
5.071566667,5.03619,4.43739371,5/24/2012,1.075,0.9302,0.8315,1.2027,0.6665,1.5003,1.0462,0.9558,TRUE
5.091013333,5.073196667,3.604621185,5/25/2012,1.0722,0.9327,0.8328,1.2008,0.6662,1.501,1.0425,0.9592,TRUE
5.07032,5.050036667,4.629390553,5/28/2012,1.0687,0.9357,0.8321,1.2018,0.6654,1.5029,1.0436,0.9583,TRUE
